video_id,video_path,annotation_path,prediction_path
squat_004,evaluation/action_analysis/dataset/videos/squat/standard/squat_004.mp4,evaluation/action_analysis/dataset/annotations/squat_004.json,evaluation/action_analysis/dataset/predictions/squat_004_pred.json
squat_005,evaluation/action_analysis/dataset/videos/squat/standard/squat_005.mp4,evaluation/action_analysis/dataset/annotations/squat_005.json,evaluation/action_analysis/dataset/predictions/squat_005_pred.json
squat_006,evaluation/action_analysis/dataset/videos/squat/standard/squat_006.mp4,evaluation/action_analysis/dataset/annotations/squat_006.json,evaluation/action_analysis/dataset/predictions/squat_006_pred.json
squat_007,evaluation/action_analysis/dataset/videos/squat/standard/squat_007.mp4,evaluation/action_analysis/dataset/annotations/squat_007.json,evaluation/action_analysis/dataset/predictions/squat_007_pred.json
squat_008,evaluation/action_analysis/dataset/videos/squat/standard/squat_008.mp4,evaluation/action_analysis/dataset/annotations/squat_008.json,evaluation/action_analysis/dataset/predictions/squat_008_pred.json
squat_009,evaluation/action_analysis/dataset/videos/squat/standard/squat_009.mp4,evaluation/action_analysis/dataset/annotations/squat_009.json,evaluation/action_analysis/dataset/predictions/squat_009_pred.json
squat_010,evaluation/action_analysis/dataset/videos/squat/standard/squat_010.mp4,evaluation/action_analysis/dataset/annotations/squat_010.json,evaluation/action_analysis/dataset/predictions/squat_010_pred.json
squat_011,evaluation/action_analysis/dataset/videos/squat/standard/squat_011.mp4,evaluation/action_analysis/dataset/annotations/squat_011.json,evaluation/action_analysis/dataset/predictions/squat_011_pred.json
squat_012,evaluation/action_analysis/dataset/videos/squat/standard/squat_012.mp4,evaluation/action_analysis/dataset/annotations/squat_012.json,evaluation/action_analysis/dataset/predictions/squat_012_pred.json
squat_013,evaluation/action_analysis/dataset/videos/squat/standard/squat_013.mp4,evaluation/action_analysis/dataset/annotations/squat_013.json,evaluation/action_analysis/dataset/predictions/squat_013_pred.json
squat_014,evaluation/action_analysis/dataset/videos/squat/standard/squat_014.mp4,evaluation/action_analysis/dataset/annotations/squat_014.json,evaluation/action_analysis/dataset/predictions/squat_014_pred.json
squat_015,evaluation/action_analysis/dataset/videos/squat/standard/squat_015.mp4,evaluation/action_analysis/dataset/annotations/squat_015.json,evaluation/action_analysis/dataset/predictions/squat_015_pred.json
squat_016,evaluation/action_analysis/dataset/videos/squat/error/shallow_depth/squat_016.mp4,evaluation/action_analysis/dataset/annotations/squat_016.json,evaluation/action_analysis/dataset/predictions/squat_016_pred.json
squat_017,evaluation/action_analysis/dataset/videos/squat/error/torso_lean/squat_017.mp4,evaluation/action_analysis/dataset/annotations/squat_017.json,evaluation/action_analysis/dataset/predictions/squat_017_pred.json
squat_018,evaluation/action_analysis/dataset/videos/squat/error/knee_valgus/squat_018.mp4,evaluation/action_analysis/dataset/annotations/squat_018.json,evaluation/action_analysis/dataset/predictions/squat_018_pred.json
squat_019,evaluation/action_analysis/dataset/videos/squat/error/shallow_depth/squat_019.mp4,evaluation/action_analysis/dataset/annotations/squat_019.json,evaluation/action_analysis/dataset/predictions/squat_019_pred.json
squat_020,evaluation/action_analysis/dataset/videos/squat/error/torso_lean/squat_020.mp4,evaluation/action_analysis/dataset/annotations/squat_020.json,evaluation/action_analysis/dataset/predictions/squat_020_pred.json
squat_021,evaluation/action_analysis/dataset/videos/squat/error/knee_valgus/squat_021.mp4,evaluation/action_analysis/dataset/annotations/squat_021.json,evaluation/action_analysis/dataset/predictions/squat_021_pred.json
squat_022,evaluation/action_analysis/dataset/videos/squat/error/shallow_depth/squat_022.mp4,evaluation/action_analysis/dataset/annotations/squat_022.json,evaluation/action_analysis/dataset/predictions/squat_022_pred.json
squat_023,evaluation/action_analysis/dataset/videos/squat/error/torso_lean/squat_023.mp4,evaluation/action_analysis/dataset/annotations/squat_023.json,evaluation/action_analysis/dataset/predictions/squat_023_pred.json
squat_024,evaluation/action_analysis/dataset/videos/squat/error/knee_valgus/squat_024.mp4,evaluation/action_analysis/dataset/annotations/squat_024.json,evaluation/action_analysis/dataset/predictions/squat_024_pred.json
squat_025,evaluation/action_analysis/dataset/videos/squat/error/shallow_depth/squat_025.mp4,evaluation/action_analysis/dataset/annotations/squat_025.json,evaluation/action_analysis/dataset/predictions/squat_025_pred.json
squat_026,evaluation/action_analysis/dataset/videos/squat/error/torso_lean/squat_026.mp4,evaluation/action_analysis/dataset/annotations/squat_026.json,evaluation/action_analysis/dataset/predictions/squat_026_pred.json
squat_027,evaluation/action_analysis/dataset/videos/squat/error/knee_valgus/squat_027.mp4,evaluation/action_analysis/dataset/annotations/squat_027.json,evaluation/action_analysis/dataset/predictions/squat_027_pred.json
squat_028,evaluation/action_analysis/dataset/videos/squat/error/shallow_depth/squat_028.mp4,evaluation/action_analysis/dataset/annotations/squat_028.json,evaluation/action_analysis/dataset/predictions/squat_028_pred.json
squat_029,evaluation/action_analysis/dataset/videos/squat/error/torso_lean/squat_029.mp4,evaluation/action_analysis/dataset/annotations/squat_029.json,evaluation/action_analysis/dataset/predictions/squat_029_pred.json
squat_030,evaluation/action_analysis/dataset/videos/squat/error/knee_valgus/squat_030.mp4,evaluation/action_analysis/dataset/annotations/squat_030.json,evaluation/action_analysis/dataset/predictions/squat_030_pred.json
